id,sku,name,category,brand,price,discount_percent,final_price,stock,rating,status,description,image_url
18,KDLC-ELE-0018,Urbanix Bluetooth Speaker,Electronics,Urbanix,3210.74,30,2247.52,174,3.8,Active,"Urbanix Bluetooth Speaker - premium quality bluetooth speaker from Urbanix, ideal for everyday use.",/images/products/kdlc-ele-0018.jpg
19,KDLC-ELE-0019,Bloom Wireless Mouse,Electronics,Bloom,3059.26,15,2600.37,135,3.5,Active,"Bloom Wireless Mouse - premium quality wireless mouse from Bloom, ideal for everyday use.",/images/products/kdlc-ele-0019.jpg
20,KDLC-BOO-0020,Zentra Notebook A5,Books & Stationery,Zentra,3471.21,20,2776.97,192,3.5,Active,"Zentra Notebook A5 - premium quality notebook a5 from Zentra, ideal for everyday use.",/images/products/kdlc-boo-0020.jpg
21,KDLC-SPO-0021,Zentra Gym Gloves,Sports,Zentra,1607.8,5,1527.41,116,3.0,Active,"Zentra Gym Gloves - premium quality gym gloves from Zentra, ideal for everyday use.",/images/products/kdlc-spo-0021.jpg
22,KDLC-SPO-0022,Craft Water Bottle 1L,Sports,Craft,3856.42,20,3085.14,233,3.2,Active,"Craft Water Bottle 1L - premium quality water bottle 1l from Craft, ideal for everyday use.",/images/products/kdlc-spo-0022.jpg
23,KDLC-SPO-0023,Craft Water Bottle 1L,Sports,Craft,3122.06,5,2965.96,95,4.5,Active,"Craft Water Bottle 1L - premium quality water bottle 1l from Craft, ideal for everyday use.",/images/products/kdlc-spo-0023.jpg
24,KDLC-BOO-0024,Nova Whiteboard Marker,Books & Stationery,Nova,3073.93,15,2612.84,4,3.2,Active,"Nova Whiteboard Marker - premium quality whiteboard marker from Nova, ideal for everyday use.",/images/products/kdlc-boo-0024.jpg
25,KDLC-HOM-0025,Prime Ceramic Mug Set,Home & Kitchen,Prime,477.04,20,381.63,242,3.2,Active,"Prime Ceramic Mug Set - premium quality ceramic mug set from Prime, ideal for everyday use.",/images/products/kdlc-hom-0025.jpg
26,KDLC-SPO-0026,Zentra Badminton Racket,Sports,Zentra,4893.33,20,3914.66,196,3.3,Active,"Zentra Badminton Racket - premium quality badminton racket from Zentra, ideal for everyday use.",/images/products/kdlc-spo-0026.jpg
27,KDLC-SPO-0027,Craft Badminton Racket,Sports,Craft,991.61,20,793.29,223,4.2,Active,"Craft Badminton Racket - premium quality badminton racket from Craft, ideal for everyday use.",/images/products/kdlc-spo-0027.jpg
28,KDLC-FAS-0028,Prime Wrist Watch,Fashion,Prime,3621.16,15,3077.99,171,4.3,Active,"Prime Wrist Watch - premium quality wrist watch from Prime, ideal for everyday use.",/images/products/kdlc-fas-0028.jpg
29,KDLC-BEA-0029,Nimbus Face Mask Pack,Beauty,Nimbus,779.82,5,740.83,16,3.7,Active,"Nimbus Face Mask Pack - premium quality face mask pack from Nimbus, ideal for everyday use.",/images/products/kdlc-bea-0029.jpg
30,KDLC-BOO-0030,Prime Whiteboard Marker,Books & Stationery,Prime,3023.51,0,3023.51,18,4.4,Active,"Prime Whiteboard Marker - premium quality whiteboard marker from Prime, ideal for everyday use.",/images/products/kdlc-boo-0030.jpg
31,KDLC-ELE-0031,Zentra Power Bank,Electronics,Zentra,4545.02,30,3181.51,84,3.1,Active,"Zentra Power Bank - premium quality power bank from Zentra, ideal for everyday use.",/images/products/kdlc-ele-0031.jpg
32,KDLC-FAS-0032,Nimbus Sunglasses,Fashion,Nimbus,1227.34,5,1165.97,185,4.9,Active,"Nimbus Sunglasses - premium quality sunglasses from Nimbus, ideal for everyday use.",/images/products/kdlc-fas-0032.jpg
33,KDLC-BOO-0033,Nimbus File Folder Set,Books & Stationery,Nimbus,1365.39,15,1160.58,206,3.8,Active,"Nimbus File Folder Set - premium quality file folder set from Nimbus, ideal for everyday use.",/images/products/kdlc-boo-0033.jpg
34,KDLC-ELE-0034,Bloom Bluetooth Speaker,Electronics,Bloom,1899.63,15,1614.69,119,4.7,Active,"Bloom Bluetooth Speaker - premium quality bluetooth speaker from Bloom, ideal for everyday use.",/images/products/kdlc-ele-0034.jpg
35,KDLC-ELE-0035,Nova Bluetooth Speaker,Electronics,Nova,2131.58,10,1918.42,204,4.7,Active,"Nova Bluetooth Speaker - premium quality bluetooth speaker from Nova, ideal for everyday use.",/images/products/kdlc-ele-0035.jpg
36,KDLC-FAS-0036,Prime Leather Wallet,Fashion,Prime,2773.17,5,2634.51,108,3.4,Active,"Prime Leather Wallet - premium quality leather wallet from Prime, ideal for everyday use.",/images/products/kdlc-fas-0036.jpg
37,KDLC-BEA-0037,Zentra Sunscreen SPF50,Beauty,Zentra,2326.03,30,1628.22,219,4.1,Active,"Zentra Sunscreen SPF50 - premium quality sunscreen spf50 from Zentra, ideal for everyday use.",/images/products/kdlc-bea-0037.jpg
38,KDLC-ELE-0038,Nova Webcam HD,Electronics,Nova,4850.18,30,3395.13,217,3.5,Active,"Nova Webcam HD - premium quality webcam hd from Nova, ideal for everyday use.",/images/products/kdlc-ele-0038.jpg
39,KDLC-BEA-0039,Nimbus Nail Polish Set,Beauty,Nimbus,1224.99,15,1041.24,231,3.1,Active,"Nimbus Nail Polish Set - premium quality nail polish set from Nimbus, ideal for everyday use.",/images/products/kdlc-bea-0039.jpg
40,KDLC-BEA-0040,Bloom Face Wash,Beauty,Bloom,1471.97,30,1030.38,200,3.9,Active,"Bloom Face Wash - premium quality face wash from Bloom, ideal for everyday use.",/images/products/kdlc-bea-0040.jpg
41,KDLC-BEA-0041,Nimbus Face Mask Pack,Beauty,Nimbus,942.02,10,847.82,55,4.9,Active,"Nimbus Face Mask Pack - premium quality face mask pack from Nimbus, ideal for everyday use.",/images/products/kdlc-bea-0041.jpg
42,KDLC-BOO-0042,Nova Whiteboard Marker,Books & Stationery,Nova,3789.28,0,3789.28,12,4.2,Active,"Nova Whiteboard Marker - premium quality whiteboard marker from Nova, ideal for everyday use.",/images/products/kdlc-boo-0042.jpg
43,KDLC-BOO-0043,Urbanix Whiteboard Marker,Books & Stationery,Urbanix,472.02,20,377.62,20,4.7,Active,"Urbanix Whiteboard Marker - premium quality whiteboard marker from Urbanix, ideal for everyday use.",/images/products/kdlc-boo-0043.jpg
44,KDLC-ELE-0044,Zentra Portable SSD,Electronics,Zentra,3440.02,5,3268.02,103,3.2,Active,"Zentra Portable SSD - premium quality portable ssd from Zentra, ideal for everyday use.",/images/products/kdlc-ele-0044.jpg
45,KDLC-BOO-0045,Solace Desk Organizer,Books & Stationery,Solace,3052.69,20,2442.15,20,3.8,Active,"Solace Desk Organizer - premium quality desk organizer from Solace, ideal for everyday use.",/images/products/kdlc-boo-0045.jpg
46,KDLC-BOO-0046,Craft File Folder Set,Books & Stationery,Craft,1717.58,10,1545.82,52,4.3,Active,"Craft File Folder Set - premium quality file folder set from Craft, ideal for everyday use.",/images/products/kdlc-boo-0046.jpg
47,KDLC-HOM-0047,Aria LED Desk Lamp,Home & Kitchen,Aria,2098.77,25,1574.08,165,3.6,Active,"Aria LED Desk Lamp - premium quality led desk lamp from Aria, ideal for everyday use.",/images/products/kdlc-hom-0047.jpg
48,KDLC-HOM-0048,Nova Electric Kettle,Home & Kitchen,Nova,2398.77,20,1919.02,25,3.1,Active,"Nova Electric Kettle - premium quality electric kettle from Nova, ideal for everyday use.",/images/products/kdlc-hom-0048.jpg
49,KDLC-FAS-0049,Aria Wrist Watch,Fashion,Aria,834.79,10,751.31,225,3.1,Active,"Aria Wrist Watch - premium quality wrist watch from Aria, ideal for everyday use.",/images/products/kdlc-fas-0049.jpg
50,KDLC-FAS-0050,Aria Backpack,Fashion,Aria,956.18,30,669.33,139,4.4,Active,"Aria Backpack - premium quality backpack from Aria, ideal for everyday use.",/images/products/kdlc-fas-0050.jpg
51,KDLC-BOO-0051,Nova Whiteboard Marker,Books & Stationery,Nova,3404.74,20,2723.79,76,4.9,Active,"Nova Whiteboard Marker - premium quality whiteboard marker from Nova, ideal for everyday use.",/images/products/kdlc-boo-0051.jpg
52,KDLC-ELE-0052,Aria Smart Watch,Electronics,Aria,753.06,0,753.06,190,4.1,Active,"Aria Smart Watch - premium quality smart watch from Aria, ideal for everyday use.",/images/products/kdlc-ele-0052.jpg
53,KDLC-HOM-0053,Solace Ceramic Mug Set,Home & Kitchen,Solace,1210.02,10,1089.02,52,4.4,Active,"Solace Ceramic Mug Set - premium quality ceramic mug set from Solace, ideal for everyday use.",/images/products/kdlc-hom-0053.jpg
54,KDLC-HOM-0054,Nimbus Knife Set,Home & Kitchen,Nimbus,1404.38,30,983.07,13,3.2,Active,"Nimbus Knife Set - premium quality knife set from Nimbus, ideal for everyday use.",/images/products/kdlc-hom-0054.jpg
55,KDLC-BEA-0055,Nova Hair Serum,Beauty,Nova,216.02,30,151.21,33,4.3,Active,"Nova Hair Serum - premium quality hair serum from Nova, ideal for everyday use.",/images/products/kdlc-bea-0055.jpg
56,KDLC-HOM-0056,Nimbus Storage Container Set,Home & Kitchen,Nimbus,2847.07,15,2420.01,143,3.0,Active,"Nimbus Storage Container Set - premium quality storage container set from Nimbus, ideal for everyday use.",/images/products/kdlc-hom-0056.jpg
57,KDLC-ELE-0057,Craft Smart Watch,Electronics,Craft,371.94,10,334.75,149,4.1,Active,"Craft Smart Watch - premium quality smart watch from Craft, ideal for everyday use.",/images/products/kdlc-ele-0057.jpg
58,KDLC-BEA-0058,Nova Lip Balm,Beauty,Nova,1678.64,30,1175.05,248,4.7,Active,"Nova Lip Balm - premium quality lip balm from Nova, ideal for everyday use.",/images/products/kdlc-bea-0058.jpg
59,KDLC-HOM-0059,Prime LED Desk Lamp,Home & Kitchen,Prime,3400.28,10,3060.25,199,4.1,Active,"Prime LED Desk Lamp - premium quality led desk lamp from Prime, ideal for everyday use.",/images/products/kdlc-hom-0059.jpg
60,KDLC-BEA-0060,Urbanix Body Lotion,Beauty,Urbanix,4642.67,5,4410.54,221,3.3,Active,"Urbanix Body Lotion - premium quality body lotion from Urbanix, ideal for everyday use.",/images/products/kdlc-bea-0060.jpg
61,KDLC-FAS-0061,Nova Formal Shirt,Fashion,Nova,1059.93,10,953.94,200,4.9,Active,"Nova Formal Shirt - premium quality formal shirt from Nova, ideal for everyday use.",/images/products/kdlc-fas-0061.jpg
62,KDLC-SPO-0062,Aria Skipping Rope,Sports,Aria,963.15,25,722.36,27,3.8,Active,"Aria Skipping Rope - premium quality skipping rope from Aria, ideal for everyday use.",/images/products/kdlc-spo-0062.jpg
63,KDLC-ELE-0063,Prime Mechanical Keyboard,Electronics,Prime,1156.95,15,983.41,89,3.6,Active,"Prime Mechanical Keyboard - premium quality mechanical keyboard from Prime, ideal for everyday use.",/images/products/kdlc-ele-0063.jpg
64,KDLC-FAS-0064,Nova Leather Wallet,Fashion,Nova,3367.16,15,2862.09,84,3.6,Active,"Nova Leather Wallet - premium quality leather wallet from Nova, ideal for everyday use.",/images/products/kdlc-fas-0064.jpg
65,KDLC-ELE-0065,Vertex USB-C Cable,Electronics,Vertex,3278.11,15,2786.39,173,5.0,Active,"Vertex USB-C Cable - premium quality usb-c cable from Vertex, ideal for everyday use.",/images/products/kdlc-ele-0065.jpg
66,KDLC-BOO-0066,Nova Highlighter Set,Books & Stationery,Nova,752.64,10,677.38,45,4.2,Active,"Nova Highlighter Set - premium quality highlighter set from Nova, ideal for everyday use.",/images/products/kdlc-boo-0066.jpg
67,KDLC-HOM-0067,Zentra Non-Stick Pan,Home & Kitchen,Zentra,3062.54,10,2756.29,186,4.6,Active,"Zentra Non-Stick Pan - premium quality non-stick pan from Zentra, ideal for everyday use.",/images/products/kdlc-hom-0067.jpg
68,KDLC-BEA-0068,Craft Body Lotion,Beauty,Craft,754.1,20,603.28,48,3.5,Active,"Craft Body Lotion - premium quality body lotion from Craft, ideal for everyday use.",/images/products/kdlc-bea-0068.jpg
69,KDLC-SPO-0069,Nova Football,Sports,Nova,2694.62,30,1886.23,137,4.4,Active,"Nova Football - premium quality football from Nova, ideal for everyday use.",/images/products/kdlc-spo-0069.jpg
70,KDLC-SPO-0070,Vertex Skipping Rope,Sports,Vertex,2269.23,25,1701.92,235,3.7,Active,"Vertex Skipping Rope - premium quality skipping rope from Vertex, ideal for everyday use.",/images/products/kdlc-spo-0070.jpg
71,KDLC-HOM-0071,Aria Electric Kettle,Home & Kitchen,Aria,2633.19,25,1974.89,104,3.7,Active,"Aria Electric Kettle - premium quality electric kettle from Aria, ideal for everyday use.",/images/products/kdlc-hom-0071.jpg
72,KDLC-SPO-0072,Craft Water Bottle 1L,Sports,Craft,809.98,15,688.48,170,4.9,Active,"Craft Water Bottle 1L - premium quality water bottle 1l from Craft, ideal for everyday use.",/images/products/kdlc-spo-0072.jpg
73,KDLC-SPO-0073,Solace Dumbbell Set 5kg,Sports,Solace,2930.71,15,2491.1,140,4.7,Active,"Solace Dumbbell Set 5kg - premium quality dumbbell set 5kg from Solace, ideal for everyday use.",/images/products/kdlc-spo-0073.jpg
74,KDLC-HOM-0074,Prime Ceramic Mug Set,Home & Kitchen,Prime,2262.46,20,1809.97,155,4.3,Active,"Prime Ceramic Mug Set - premium quality ceramic mug set from Prime, ideal for everyday use.",/images/products/kdlc-hom-0074.jpg
75,KDLC-BEA-0075,Nimbus Nail Polish Set,Beauty,Nimbus,3442.01,20,2753.61,121,4.6,Active,"Nimbus Nail Polish Set - premium quality nail polish set from Nimbus, ideal for everyday use.",/images/products/kdlc-bea-0075.jpg
76,KDLC-SPO-0076,Zentra Dumbbell Set 5kg,Sports,Zentra,1561.17,25,1170.88,162,4.2,Active,"Zentra Dumbbell Set 5kg - premium quality dumbbell set 5kg from Zentra, ideal for everyday use.",/images/products/kdlc-spo-0076.jpg
77,KDLC-ELE-0077,Aria Power Bank,Electronics,Aria,1277.28,5,1213.42,37,3.0,Active,"Aria Power Bank - premium quality power bank from Aria, ideal for everyday use.",/images/products/kdlc-ele-0077.jpg
78,KDLC-FAS-0078,Solace Casual Sneakers,Fashion,Solace,4277.74,0,4277.74,116,3.8,Active,"Solace Casual Sneakers - premium quality casual sneakers from Solace, ideal for everyday use.",/images/products/kdlc-fas-0078.jpg
79,KDLC-SPO-0079,Prime Cycling Helmet,Sports,Prime,3647.06,15,3100.0,126,3.8,Active,"Prime Cycling Helmet - premium quality cycling helmet from Prime, ideal for everyday use.",/images/products/kdlc-spo-0079.jpg
80,KDLC-FAS-0080,Zentra Cotton T-Shirt,Fashion,Zentra,3935.42,5,3738.65,45,4.6,Active,"Zentra Cotton T-Shirt - premium quality cotton t-shirt from Zentra, ideal for everyday use.",/images/products/kdlc-fas-0080.jpg
81,KDLC-SPO-0081,Nimbus Cricket Bat,Sports,Nimbus,440.05,5,418.05,234,4.7,Active,"Nimbus Cricket Bat - premium quality cricket bat from Nimbus, ideal for everyday use.",/images/products/kdlc-spo-0081.jpg
82,KDLC-BEA-0082,Nimbus Lip Balm,Beauty,Nimbus,3403.37,20,2722.7,152,3.6,Active,"Nimbus Lip Balm - premium quality lip balm from Nimbus, ideal for everyday use.",/images/products/kdlc-bea-0082.jpg
83,KDLC-BEA-0083,Craft Body Lotion,Beauty,Craft,2247.36,20,1797.89,114,4.8,Active,"Craft Body Lotion - premium quality body lotion from Craft, ideal for everyday use.",/images/products/kdlc-bea-0083.jpg
84,KDLC-SPO-0084,Nimbus Badminton Racket,Sports,Nimbus,1443.12,5,1370.96,215,4.3,Active,"Nimbus Badminton Racket - premium quality badminton racket from Nimbus, ideal for everyday use.",/images/products/kdlc-spo-0084.jpg
85,KDLC-BOO-0085,Prime Pencil Box,Books & Stationery,Prime,1517.07,0,1517.07,182,3.6,Active,"Prime Pencil Box - premium quality pencil box from Prime, ideal for everyday use.",/images/products/kdlc-boo-0085.jpg
86,KDLC-HOM-0086,Vertex Cushion Cover,Home & Kitchen,Vertex,4485.53,0,4485.53,35,3.3,Active,"Vertex Cushion Cover - premium quality cushion cover from Vertex, ideal for everyday use.",/images/products/kdlc-hom-0086.jpg
87,KDLC-BEA-0087,Prime Lip Balm,Beauty,Prime,507.3,15,431.2,84,4.1,Active,"Prime Lip Balm - premium quality lip balm from Prime, ideal for everyday use.",/images/products/kdlc-bea-0087.jpg
88,KDLC-BEA-0088,Prime Face Wash,Beauty,Prime,4196.88,15,3567.35,231,4.5,Active,"Prime Face Wash - premium quality face wash from Prime, ideal for everyday use.",/images/products/kdlc-bea-0088.jpg
89,KDLC-SPO-0089,Solace Yoga Mat,Sports,Solace,2024.83,0,2024.83,241,3.7,Active,"Solace Yoga Mat - premium quality yoga mat from Solace, ideal for everyday use.",/images/products/kdlc-spo-0089.jpg
90,KDLC-BEA-0090,Craft Perfume 50ml,Beauty,Craft,3787.08,20,3029.66,204,4.2,Active,"Craft Perfume 50ml - premium quality perfume 50ml from Craft, ideal for everyday use.",/images/products/kdlc-bea-0090.jpg
91,KDLC-FAS-0091,Prime Casual Sneakers,Fashion,Prime,1509.09,15,1282.73,7,3.8,Active,"Prime Casual Sneakers - premium quality casual sneakers from Prime, ideal for everyday use.",/images/products/kdlc-fas-0091.jpg
92,KDLC-SPO-0092,Urbanix Football,Sports,Urbanix,4233.43,5,4021.76,159,4.1,Active,"Urbanix Football - premium quality football from Urbanix, ideal for everyday use.",/images/products/kdlc-spo-0092.jpg
93,KDLC-BEA-0093,Solace Body Lotion,Beauty,Solace,3381.4,0,3381.4,164,3.9,Active,"Solace Body Lotion - premium quality body lotion from Solace, ideal for everyday use.",/images/products/kdlc-bea-0093.jpg
94,KDLC-BEA-0094,Nova Lip Balm,Beauty,Nova,1447.75,10,1302.98,54,3.9,Active,"Nova Lip Balm - premium quality lip balm from Nova, ideal for everyday use.",/images/products/kdlc-bea-0094.jpg
95,KDLC-HOM-0095,Aria Wall Clock,Home & Kitchen,Aria,3808.65,30,2666.05,107,3.5,Active,"Aria Wall Clock - premium quality wall clock from Aria, ideal for everyday use.",/images/products/kdlc-hom-0095.jpg
96,KDLC-ELE-0096,Nova Mechanical Keyboard,Electronics,Nova,3794.32,0,3794.32,243,3.7,Active,"Nova Mechanical Keyboard - premium quality mechanical keyboard from Nova, ideal for everyday use.",/images/products/kdlc-ele-0096.jpg
97,KDLC-SPO-0097,Nova Resistance Bands,Sports,Nova,3819.32,5,3628.35,51,4.7,Active,"Nova Resistance Bands - premium quality resistance bands from Nova, ideal for everyday use.",/images/products/kdlc-spo-0097.jpg
98,KDLC-BOO-0098,Prime Sketchbook,Books & Stationery,Prime,804.86,25,603.64,29,4.1,Active,"Prime Sketchbook - premium quality sketchbook from Prime, ideal for everyday use.",/images/products/kdlc-boo-0098.jpg
99,KDLC-FAS-0099,Aria Casual Sneakers,Fashion,Aria,3880.11,5,3686.1,155,4.2,Active,"Aria Casual Sneakers - premium quality casual sneakers from Aria, ideal for everyday use.",/images/products/kdlc-fas-0099.jpg
100,KDLC-SPO-0100,Urbanix Resistance Bands,Sports,Urbanix,4829.66,0,4829.66,148,3.1,Active,"Urbanix Resistance Bands - premium quality resistance bands from Urbanix, ideal for everyday use.",/images/products/kdlc-spo-0100.jpg
